Event	ID	Name			Wwise Object Path	Notes
	1410962341	Test_Overlap			\Default Work Unit\Test_Overlap	
	1866025847	Footstep			\Default Work Unit\Footstep	
	1937899092	Play_Assault_Rifle_EndLoop			\Weapons\WEP\WEP_Assault_Rifle\Play_Assault_Rifle_EndLoop	
	4055020373	Play_Assault_Rifle_Loop			\Weapons\WEP\WEP_Assault_Rifle\Play_Assault_Rifle_Loop	
	4166439457	Spider_Death			\Enemies\Spider\Spider_Death	

Switch Group	ID	Name			Wwise Object Path	Notes
	4050929301	Materials			\Switch_Materials\Materials	

Switch	ID	Name	Switch Group			Notes
	1216965916	Stone	Materials			
	2195636714	Dirt	Materials			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	484718142	Wwise Sine	Wwise Sine		\Actor-Mixer Hierarchy\DEV_TestTones\Master\TestTones\440_Tone\Wwise Sine	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	271115699	FoleyFlesh_Gib05_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib05_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_02\FoleyFlesh_Gib05_Stereo		220284
	330224505	FoleyFlesh_Gib06	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib06_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_01\FoleyFlesh_Gib06		122342
	330847727	Footstep_Generic11	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic11_D74FA026.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic11		12514
	348796821	AssaultRifle_ShotEnd01_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotEnd01_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_EndLoop\AssaultRifle_ShotEnd01_Stereo		256084
	379770089	FoleyFlesh_Gib04	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib04_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_01\FoleyFlesh_Gib04		132380
	384652671	Footstep_Generic09	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic09_87C13A30.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic09		26288
	413706425	Footstep_Generic01	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic01_E30B8C73.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic01		34960
	423361559	AssaultRifle_ShotLoop02_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotLoop02_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_Loop\AssaultRifle_ShotLoop02_Stereo		301984
	443193269	Footstep_Generic08	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic08_01219696.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic08		18784
	458502390	Footstep_Generic06	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic06_CB531754.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic06		38394
	523799232	Footstep_Generic04	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic04_E4ADAB78.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic04		17278
	571759457	Footstep_Generic08	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic08_9DB8D005.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic08		37764
	606075105	Footstep_Generic03	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic03_67637D00.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic03		33092
	606533856	Footstep_Generic12	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic12_43F40FD1.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic12		44534
	665061075	Footstep_Generic10	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic10_10351A6D.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic10		11574
	692497960	Footstep_Generic07	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic07_6B52370B.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic07		16012
	724161900	Footstep_Generic10	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic10_B4F58C14.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic10		43030
	740053301	Footstep_Generic11	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic11_0E5C03C4.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic11		34372
	818119165	AssaultRifle_ShotLoop03_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotLoop03_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_Loop\AssaultRifle_ShotLoop03_Stereo		317352
	828635196	Footstep_Generic02	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic02_452FBB43.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic02		17166
	873856326	Footstep_Generic02	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic02_1B68D1F8.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic02		26918
	906882796	Footstep_Generic03	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic03_95DD6F16.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic03		13726
	1024256028	FoleyFlesh_Gib06_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib06_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_02\FoleyFlesh_Gib06_Stereo		244620
	1026882453	Footstep_Generic04	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic04_C29B45A1.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Toe\Footstep_Generic04		22012
	1042212654	AssaultRifle_ShotEnd02_Stereo	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\AssaultRifle_ShotEnd02_Stereo_10C4C929.wem		\Actor-Mixer Hierarchy\Weapons\WEP\Assault_Rifle\Assault_Rifle_EndLoop\AssaultRifle_ShotEnd02_Stereo		316852
	1054496780	Footstep_Generic09	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\Footstep_Generic09_C6D7A4E3.wem		\Actor-Mixer Hierarchy\MVT_Footstep\MVT_FS_Master\Footsteps\Dirt\Heel\Footstep_Generic09		15898
	1057383611	FoleyFlesh_Gib01	C:\dev\GameDev\Unreal_Projects\UE4\MarsMarine-UEProject\MarsMarine-UEProject_WwiseProject\.cache\Windows\SFX\FoleyFlesh_Gib01_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Spider\Gore\FleshExplode\Flesh_01\FoleyFlesh_Gib01		109616

